episode_length,grad_norm,explained_variance,policy_entropy,advantage_norm,P01:episode_rewards,epoch_idx,policy_loss,fps,PMM:episode_rewards,P09:episode_rewards,value_loss,frames
165.475,35.81210124590158,-10.898722435235976,1.3106448736041785,5.917211875170469,0.0,1,0.19504095853713807,606,1.025,3.0,1.4415040942367023,8000
169.9787234042553,0.09105705590244478,-12.964910115599633,1.383061364889145,0.6270006752759218,0.0,2,0.00012644019563595065,472,1.1595744680851063,3.0,0.004689151450088502,16000
174.77,0.12056143924682335,-13.904844326376915,1.3834950959682464,0.7370281683653593,0.0,3,0.0002721172138262773,560,1.28,3.1000000000000085,0.005918306968585512,24000
177.95,0.0923114396445439,-13.148715780377389,1.3845946419239044,0.6929371651541442,0.0,4,0.00034185153825092127,605,1.28,4.0,0.005384287998096511,32000
176.54,0.09402024143415874,-4.2819346582889555,1.3845055210590362,0.6674194749444723,0.0,5,-2.3438709758920597e-05,640,1.23,3.0,0.005166594196317646,40000
176.69,0.09985459379626471,-3.479585151076317,1.3851249992847443,0.6943569912947715,0.0,6,-0.0005837339254503604,670,1.24,3.0,0.005658239205258724,48000
175.43,0.0759649347590479,-3.2515317541360855,1.3838314366340638,0.6101153265219181,0.0,7,0.0003265398705570988,693,1.18,3.0,0.004525986014210445,56000
171.62,0.10452529257908642,-1.5251970660686494,1.3837746012210845,0.8230316038802266,0.0,8,0.0006759523443179205,708,1.13,3.0,0.006722339415237002,64000
181.31,0.08623922949413561,-2.4563725137710573,1.3849754667282104,0.7133098470419645,0.0,9,-4.2864051647484305e-05,725,1.35,4.0,0.005439978520495287,72000
182.28,0.0783570732854611,-4.637989472150803,1.3856958556175232,0.6801775003038347,0.0,10,-0.000561550901056762,735,1.37,4.0,0.005300191764399642,80000
170.8,0.07515671605193472,-3.333954249024391,1.385667893886566,0.5988297236897051,0.0,11,4.4177407107781616e-05,747,1.09,3.0,0.004551655731781921,88000
171.19,0.08981778781577889,-2.4881600308418275,1.3851835715770722,0.6759922088682652,0.0,12,-0.00022562664875295014,761,1.07,3.0,0.005471819878212045,96000
180.29,0.08402108008487945,-1.1118833196163178,1.3843850910663604,0.7469320769608021,0.0,13,0.00013044542632997035,771,1.32,3.0,0.006064370272169981,104000
184.94,0.07811076874375163,-2.138378183245659,1.3830985355377197,0.7526058537513017,0.0,14,0.0005311264682677574,784,1.43,4.0,0.00601760329958779,112000
184.67,0.08010707104435387,-1.8743086683750152,1.3819685697555542,0.7470083822309971,0.0,15,-8.892674581147731e-05,794,1.42,4.0,0.005837863589631525,120000
186.01,0.0824048205675801,-1.0061251747608184,1.382342940568924,0.7675082382187247,0.0,16,-0.0002661822685331572,801,1.46,4.0,0.006155342321908393,128000
184.87,0.06848881110672461,-1.5959192889928817,1.3813576984405518,0.6866795628331601,0.0,17,0.0005832273478154093,807,1.43,3.1000000000000085,0.005342630838258628,136000
183.26,0.07991106577423396,-1.4018756502866745,1.3786665999889374,0.8171136972308158,0.0,18,-0.0004069307024474256,813,1.4,4.0,0.0063724287191416805,144000
186.4,0.0791289094268532,-1.0382339233160018,1.379287519454956,0.7362077468633652,0.0,19,7.17396370600909e-05,817,1.49,4.0,0.005764671491897388,152000
185.96,0.0777473426340332,-1.230088067650795,1.3804215490818024,0.7479905165545643,0.0,20,-0.00029255027300678193,824,1.41,4.0,0.0059966504373005595,160000
