explained_variance,episode_length,P01:episode_rewards,grad_norm,PMM:episode_rewards,value_loss,frames,fps,epoch_idx,advantage_norm,P09:episode_rewards,policy_entropy,policy_loss
-11.540802684426307,184.1891891891892,0.0,38.48310702254339,1.4054054054054055,1.8741552112746966,8000,612,1,4.823795825522393,3.0,1.3151368948072195,-0.023455086722096893
-27.223361102342604,181.31034482758622,0.0,0.0992757628966721,1.3448275862068966,0.004792862336782946,16000,448,2,0.6392033197917044,3.4000000000000057,1.385566520690918,-0.00021964817921798385
-14.870519781112671,180.29,0.0,0.11381025939686283,1.32,0.00590380421226655,24000,508,3,0.7125082203932106,3.0,1.3858922517299652,0.00034984713074663886
-13.97599476158619,182.18,0.0,0.12785957749279228,1.37,0.006285878513863281,32000,554,4,0.7677978516556323,3.0,1.3855499339103698,-0.00029123693302608445
-4.671315336823463,177.93,0.0,0.1327345286874121,1.31,0.005299828445326966,40000,589,5,0.6852640187181532,3.0,1.3812171721458435,0.001149959399808722
-3.8715127658843995,183.11,0.0,0.09630879609704734,1.36,0.005676221348037416,48000,623,6,0.7641577114164829,3.1000000000000085,1.3817504453659057,0.00036613990618207027
-6.710230205059052,184.85,0.0,0.09884774508406986,1.39,0.005857384126967418,56000,643,7,0.7306522772833705,3.0,1.3833810484409332,-0.0006120398221537471
-2.6693206071853637,185.89,0.0,0.10282279963872071,1.43,0.005429979273269509,64000,661,8,0.7231231707148253,3.1000000000000085,1.3824643433094024,0.0002530181484326022
-3.95389580309391,180.99,0.0,0.161660219556914,1.35,0.0064348068300978415,72000,677,9,0.7586042594909668,3.0,1.3796286487579346,-0.0025740548892645167
-6.756572867035866,189.33,0.0,0.11975751566870592,1.57,0.005982892261749839,80000,690,10,0.7501048184931278,4.0,1.381584575176239,0.00038581477747356985
-2.0006981617212296,183.72,0.0,0.10294764972821753,1.48,0.005688665210077488,88000,705,11,0.7426552246138454,4.0,1.3814214253425598,0.00051785339757771
-3.3231425684690477,183.07,0.0,0.10309915633737488,1.43,0.005531632657907721,96000,718,12,0.7140615411661565,3.0,1.3792416954040527,-0.0008691153496329207
-2.251520872116089,189.81,0.0,0.13982587195228485,1.59,0.0067223228202692555,104000,731,13,0.805779624208808,4.0,1.3738053607940675,-0.0012306579017604235
