P09:episode_rewards,PMM:episode_rewards,policy_loss,episode_length,grad_norm,epoch_idx,P01:episode_rewards,value_loss,fps,frames,advantage_norm,policy_entropy,explained_variance
3.0,0.8863636363636364,0.1522106887062546,163.97727272727272,35.47107019074122,1,0.0,1.1675674154987563,580,8000,5.075430517140776,1.3486709630489349,-8.265460547804832
3.0,1.1868131868131868,-0.0004265267966002284,172.4835164835165,0.12615404554581436,2,0.0,0.005770370192601603,380,16000,0.7429815400298685,1.3838002514839172,-5.291998477578163
2.1000000000000085,1.22,0.00016751706307331914,173.28,0.08655930355159258,3,0.0,0.004606267220765403,444,24000,0.6016816802322864,1.3817171800136565,-6.92632465660572
3.0,1.25,-0.0002895733655896038,178.01,0.1204764002288805,4,0.0,0.006327843323015258,503,32000,0.7374597075954079,1.3822677791118623,-2.387735856771469
3.1000000000000085,1.34,0.0002995802394252678,182.27,0.0792199147986462,5,0.0,0.00491161397431,546,40000,0.6450296730408445,1.3849378764629363,-20.636276348233224
3.0,1.1,-0.0001718674228686723,170.6,0.0831040686653437,6,0.0,0.004647029387126054,581,48000,0.6016244139149785,1.3843001055717468,-6.327383496165275
2.1000000000000085,1.03,-0.0002535466964036459,167.64,0.08871591991157673,7,0.0,0.005200478852991637,605,56000,0.6776105521433056,1.3834895515441894,-3.4415814113616943
3.0,1.23,0.0018266318234964273,176.57,0.1260010141801933,8,0.0,0.006398665359931784,628,64000,0.7858743632212282,1.3838370299339295,-2.6089712315797806
3.0,1.48,0.0002011885201864061,184.11,0.09158488249791946,9,0.0,0.005745516789454541,645,72000,0.7497418139316142,1.3840881371498108,-2.058350678682327
3.0,1.53,-2.9683783213840797e-06,185.68,0.09260927762155313,10,0.0,0.00597646858893313,662,80000,0.7600335066765547,1.3814274859428406,-1.632282279729843
3.0,1.34,0.00031812977162189784,178.91,0.09213785939270175,11,0.0,0.005162266918532623,679,88000,0.6519176126457751,1.3807095885276794,-2.7770224416255953
3.0,1.05,-0.00036739218390721364,168.05,0.07642066753868226,12,0.0,0.004400965855218146,692,96000,0.6002648315951228,1.3829728710651397,-3.57599960565567
3.0,1.14,0.00026689519836509135,173.45,0.0995512110262825,13,0.0,0.006161923856193425,705,104000,0.7693219516798854,1.3824424409866334,-2.984881188869476
4.0,1.45,0.000624813036120031,182.71,0.09165101273858584,14,0.0,0.005365728733904689,715,112000,0.7206910902261734,1.3848391842842103,-1.9121399301290511
3.0,1.43,8.514509943779558e-05,182.32,0.0923429386248017,15,0.0,0.005652348908010935,726,120000,0.7635393020883202,1.384740447998047,-2.4039171117544176
3.1000000000000085,1.47,0.00041388779318367596,186.99,0.14052483149861866,16,0.0,0.005417226604586176,736,128000,0.7323816543444991,1.3846515226364136,-2.7496940451860428
4.0,1.61,0.00016427465307060628,191.17,0.12230885469580073,17,0.0,0.006052902962419466,740,136000,0.8222417425364256,1.3832534837722779,-2.373278253674507
4.0,1.77,-0.0019171768178784987,193.46,0.145626766065466,18,0.0,0.004884122127587034,750,144000,0.6759782167896629,1.3847784340381621,-4.473063504099846
