P09:episode_rewards,value_loss,episode_length,fps,advantage_norm,epoch_idx,explained_variance,policy_loss,frames,grad_norm,P01:episode_rewards,policy_entropy,PMM:episode_rewards
3.0,0.7197020216502801,176.04761904761904,521,3.7076710845157503,1,-2.9195674413442614,-0.01042831743878196,8000,22.32937333223253,0.0,1.3650951611995696,1.2142857142857142
3.0,0.005556864626300922,171.07865168539325,336,0.7301543920300901,2,-3.1527649366855623,-0.00022494385524623794,16000,0.11832023549343978,0.0,1.3808894538879395,1.0674157303370786
4.0,0.006997081369628404,188.17,404,0.8569632645137608,3,-1.8907709819078447,0.00027805064964923074,24000,0.1177604068540742,0.0,1.3836898601055145,1.47
4.1000000000000085,0.005769938892071878,196.71,437,0.7440835722349584,4,-1.4716998118162155,-0.0005792521403600404,32000,0.09232879372257824,0.0,1.3855169749259948,1.7
4.0,0.005146532432258937,185.77,460,0.6610268963500857,5,-2.4081114715337755,5.873284506378695e-05,40000,0.08544945437815193,0.0,1.3854410660266876,1.44
3.1000000000000085,0.0064082383680033675,179.5,479,0.8130169251933694,6,-2.02503162920475,0.0004308109366684221,48000,0.10504519640043455,0.0,1.3850034856796265,1.27
4.0,0.005890115374695597,191.52,490,0.7399419348686933,7,-2.002620455622673,0.00011086718935985118,56000,0.11105954544625728,0.0,1.3849869203567504,1.58
4.0,0.005093645586593993,186.08,503,0.6578462772816419,8,-2.3514396768808363,-7.97824792243773e-06,64000,0.09181292456640383,0.0,1.3853663337230682,1.49
3.0,0.005090038692187591,180.47,520,0.6840625100582838,9,-3.4954072403907777,-2.194957225583494e-05,72000,0.08364081884445454,0.0,1.3847359251976012,1.31
3.0,0.005051967985064038,175.58,522,0.6787381250411272,10,-3.192829436659813,-0.0003428592380078044,80000,0.08155932032911789,0.0,1.3835097301006316,1.14
3.0,0.0357105297965154,175.56,534,0.883413742594421,11,-2.7092994809150697,0.03052781973638048,88000,1.008442141617659,0.0,1.3819738936424255,1.17
4.0,0.006371298000613024,180.36,542,0.8016798396408558,12,-2.445445727109909,0.0016479769771103748,96000,0.13343863098454867,0.0,1.380993605852127,1.35
4.0,0.0050525474658570605,184.25,549,0.7089885961264372,13,-2.0209165263175963,-0.0004620465841071564,104000,0.11069355404537307,0.0,1.3817880153656006,1.45
3.0,0.0048359909906139364,177.81,548,0.7154060032218694,14,-2.2822393161058425,-0.0007638682908873306,112000,0.11282339299151743,0.0,1.3807849037647246,1.26
3.0,0.005471330186082923,176.58,553,0.7354295065253973,15,-2.5783560419082643,-0.0031196437985636294,120000,0.16684055691780603,0.0,1.384274082183838,1.26
4.0,0.0054494221244385695,187.53,563,0.7647967544198037,16,-2.2835821586847307,-0.0027039679075824097,128000,0.1679210287270357,0.0,1.384190285205841,1.52
3.0,0.0038346505931076535,182.16,573,0.6330621252208948,17,-2.5253597766160967,0.0013138034872827121,136000,0.11915592272026332,0.0,1.3835210180282593,1.34
3.0,0.004676735765679041,176.25,581,0.7002209988236427,18,-3.9273962420225144,-0.0002787083639850607,144000,0.13917020660852095,0.0,1.3846069443225861,1.18
