P09:episode_rewards,PMM:episode_rewards,explained_variance,grad_norm,policy_loss,value_loss,episode_length,frames,advantage_norm,fps,policy_entropy,epoch_idx,P01:episode_rewards
2.0,0.9333333333333333,-3.1099623465538024,32.72369720527722,0.015174574661068618,1.0135777527744905,163.35555555555555,8000,5.053775407150388,581,1.3211851122975349,1,0.0
3.0,1.1157894736842104,-6.26491703748703,0.11749075761384932,0.0001660514035029337,0.0056938063390919065,170.65263157894736,16000,0.7262373876105994,395,1.3820683681964874,2,0.0
3.1000000000000085,1.21,-11.397671731114388,0.11066710480422612,0.0003854781386326067,0.0055833785426966645,176.09,24000,0.7100489298813045,422,1.3838651502132415,3,0.0
3.0,1.25,-5.2728698056936265,0.11560629186484739,0.0008631085433808039,0.005555718517571222,177.76,32000,0.7400040611810982,437,1.3841464114189148,4,0.0
3.0,1.37,-2.9739640992879868,0.11583455743651569,-0.00024223301908932627,0.006744547287880777,181.44,40000,0.8169764834083617,446,1.385003764629364,5,0.0
4.0,1.8,-2.3684913110733032,0.12372626562388453,0.0006830086794070667,0.007433900018395434,197.1,48000,0.8838285120949149,453,1.385185537338257,6,0.0
5.0,1.76,-2.5234278655052185,0.10148751951701973,-0.00013677271628694142,0.005361006110315429,196.69,56000,0.7032256748154759,453,1.3835783183574677,7,0.0
4.0,1.43,-2.9528510868549347,0.10983367384840426,9.874798497094161e-05,0.006078263245622111,185.61,64000,0.7842809500172734,454,1.3842402911186218,8,0.0
5.0,1.66,-1.7997749012708664,0.10207753497567656,-0.0004777946609829087,0.006355784351917464,194.33,72000,0.7919769140332937,454,1.384823626279831,9,0.0
5.0,1.69,-2.5394415950775144,0.13606790915862763,-0.002552237187946957,0.005954447362596511,195.45,80000,0.7250275348313153,455,1.3823678004741669,10,0.0
3.0,1.14,-3.283195172548294,0.07707064979955462,0.00020455361565836937,0.004073287002747747,172.79,88000,0.558311942704022,455,1.384444328546524,11,0.0
2.1000000000000085,1.03,-3.074742066860199,0.15821308153807784,-0.0033910854256828317,0.006151292854065104,166.83,96000,0.7658034230768681,453,1.3839911341667175,12,0.0
4.0,1.53,-1.5297420620918274,2.375509563481079,0.021755798138510727,0.09257146789645049,186.01,104000,1.206861872598529,454,1.3790225422382354,13,0.0
4.0,1.54,-2.841441693305969,0.10588850955409239,0.00024133767990861088,0.004635540179660893,185.79,112000,0.6518956581130624,454,1.3842816972732543,14,0.0
3.0,1.28,-1.7451788365840912,0.12019669958864405,-0.00033446228364482524,0.004849226726073539,175.09,120000,0.7223353479802609,454,1.3841294312477113,15,0.0
3.0,1.38,-2.1560234594345093,0.12764119789928197,0.00040354776745516575,0.004981489659003273,180.87,128000,0.6941211289912462,454,1.3850793147087097,16,0.0
