frames,policy_loss,episode_length,epoch_idx,P09:episode_rewards,advantage_norm,P01:episode_rewards,fps,grad_norm,policy_entropy,value_loss,explained_variance,PMM:episode_rewards
8000,0.14873373155191075,175.1904761904762,1,3.0,5.035231809727848,0.0,576,41.42633610212732,1.3227572743408382,2.01242921665249,-2.042689738869667,1.2380952380952381
16000,0.0003173820578376763,174.2173913043478,2,3.0,0.7257084606960416,0.0,372,0.08289912597512356,1.3850185263156891,0.005613081480269102,-2.4025036096572876,1.2173913043478262
24000,-0.0003775211567699444,185.78,3,4.0,0.8312405228987336,0.0,449,0.08499758410643686,1.3854802393913268,0.006777392124927246,-0.9630221062898636,1.51
32000,0.0003775495919398963,183.02,4,4.0,0.6745693353936076,0.0,497,0.07048186901103944,1.3853121459484101,0.005180320425743048,-1.0048230350017548,1.45
40000,-0.0004471280801226385,181.47,5,3.0,0.722686181999743,0.0,521,0.06855480007878838,1.3836807990074158,0.005888187111786465,-1.1285919761657714,1.39
48000,0.0002618973102653399,183.26,6,3.0,0.7314387166127563,0.0,537,0.05931906587908107,1.382477147579193,0.005540410696171421,-1.5854463171958924,1.43
56000,0.0007519628385489341,188.69,7,4.0,0.8021493469551205,0.0,560,0.0792030763413242,1.3838234722614289,0.006290731208728175,-0.9443120568990707,1.56
64000,1.828047286835499e-05,189.76,8,4.0,0.7630267399176955,0.0,581,0.06513550138340356,1.3848671925067901,0.0060997260293106596,-1.158506474494934,1.57
72000,-0.0006072463367672754,195.72,9,4.0,0.7636444213241339,0.0,594,0.06858332623055984,1.3835135793685913,0.0062993036659918285,-1.5716075557470321,1.73
80000,0.0018445093733316753,190.14,10,4.0,0.7627125801146031,0.0,608,0.0753177898950436,1.3838360929489135,0.006286804165656576,-1.3260010421276092,1.63
88000,-0.0003257981454953551,194.12,11,3.0,0.70888740606606,0.0,618,0.07111114710363299,1.384801869392395,0.005946968260268477,-1.9788918501138688,1.68
96000,-0.00022497846599435435,180.3,12,3.0,0.6320363839529455,0.0,624,0.06365833414490901,1.3829721105098725,0.004632882089972554,-1.9933010345697404,1.26
104000,0.0003529424624866806,171.42,13,3.0,0.7120452458783985,0.0,630,0.06984947562762894,1.3828203654289246,0.005506033288602339,-1.233526836037636,1.08
