episode_length,policy_entropy,P01:episode_rewards,fps,PMM:episode_rewards,explained_variance,frames,value_loss,grad_norm,P09:episode_rewards,advantage_norm,policy_loss,epoch_idx
181.4878048780488,1.3403862097859383,0.0,568,1.3658536585365855,-4.407215762734413,8000,0.7534573640442863,24.317634574519243,3.0,4.04864596279338,0.06207871939386678,1
177.30337078651687,1.3824678540229798,0.0,376,1.2584269662921348,-5.9138275694847104,16000,0.005712971786309708,0.10990709420498719,3.0,0.7425702545978129,0.0006842065893488325,2
170.09,1.383210917711258,0.0,457,1.07,-9.536815339922905,24000,0.004657565268706776,0.08454145209397122,2.0,0.6301049939729273,-0.0005267118572555773,3
169.35,1.3823477458953857,0.0,516,1.06,-9.373988145589829,32000,0.005245263707840877,0.08687729311947974,3.0,0.6635819121357054,-0.0005300473299939768,4
174.56,1.3820579040050507,0.0,559,1.22,-4.931762419342995,40000,0.005547442079468965,0.09027740262694456,3.0,0.7139673732966184,0.00019581391628889833,5
172.39,1.3844973409175874,0.0,593,1.14,-5.301348888874054,48000,0.0045818804800637734,0.07829827729886231,3.0,0.5642010374553501,0.0003578404495783616,6
171.98,1.3836690938472749,0.0,617,1.13,-2.6431228911876676,56000,0.006057962946207454,0.09517451442190408,3.0,0.7474676249548793,-0.00021353847892896738,7
179.46,1.3859621059894562,0.0,637,1.31,-1.4582615727186203,64000,0.005651193429700925,0.09156711932776863,3.0,0.7180671203136444,-0.0007020538333745208,8
185.79,1.3851448953151704,0.0,658,1.41,-1.8069867086410523,72000,0.006111957248648423,0.08560853876427127,4.0,0.7675341749563813,8.416725031565874e-06,9
179.93,1.3849821388721466,0.0,675,1.28,-2.5170943385362623,80000,0.004786101853437685,0.06795177171764913,4.0,0.6185746308602392,-0.00015986221318598838,10
179.84,1.382985793352127,0.0,693,1.3,-3.1719982415437697,88000,0.04720436760474058,1.7412874337984028,3.0,1.0987052631005645,-0.015762785739789252,11
183.44,1.3837623548507691,0.0,708,1.37,-1.0301691204309464,96000,0.0060641536249659116,0.07187195946094697,3.0,0.7677974532544612,0.0011643311870284379,12
