P09:episode_rewards,PMM:episode_rewards,P01:episode_rewards,policy_loss,frames,value_loss,explained_variance,policy_entropy,episode_length,epoch_idx,fps,advantage_norm,grad_norm
2.0,0.9555555555555556,0.0,0.007192385338712483,8000,1.3470272774396108,-0.8768584781885147,1.3436675971746446,165.15555555555557,1,578,5.852022199463099,40.03103236721209
2.799999999999997,1.10752688172043,0.0,-0.00024950146544142624,16000,0.005342963433072327,-1.114645756483078,1.3842297720909118,170.88172043010752,2,370,0.7102294424548745,0.16141625530073928
3.0,1.35,0.0,-0.00035410863114520907,24000,0.005683956082086184,-1.8284278786182404,1.38515749335289,181.42,3,448,0.7298429620731622,0.15990987950527588
3.1000000000000085,1.44,0.0,0.00021695026469387813,32000,0.0063725320783066764,-5.076006460785866,1.385959633588791,185.23,4,505,0.8409559864923358,0.15061298445160423
3.0,1.5,0.0,-6.775441079298616e-06,40000,0.00609099558312721,-35.82430365562439,1.38539088845253,186.66,5,544,0.7257609709817916,0.12684906907893187
3.0,1.22,0.0,-0.0002832981743995333,48000,0.005241333023833477,-10.094498959183692,1.3857424080371856,177.1,6,573,0.6749597318191082,0.10760223794471799
3.0,1.25,0.0,0.0003481953175742092,56000,0.005635166079547957,-15.26872122824192,1.3852045106887818,179.46,7,599,0.7272445340640843,0.12221869214652688
4.0,1.4,0.0,0.0002940778194465565,64000,0.005572600634658329,-25.326260420084,1.3852195954322815,183.06,8,622,0.6676726729050279,0.10142380305031519
3.0,1.28,0.0,0.00021843615864781897,72000,0.004978503379414576,-7.950057311058044,1.3853475213050843,177.44,9,641,0.6375533932400868,0.10759371065024574
3.0,1.26,0.0,-4.558634023851482e-05,80000,0.006017769432752971,-7.894593308568001,1.3855221891403198,180.29,10,661,0.7611269717570395,0.10886721617376631
3.0,1.3,0.0,-0.00015580242383293806,88000,0.0059514990578736614,-13.531566252708435,1.3857967495918273,181.08,11,674,0.7701515328139067,0.10515511504720233
4.0,1.51,0.0,-0.0002961929320008494,96000,0.005871268384470341,-6.017693928480148,1.3856188726425172,188.26,12,690,0.7244082740414888,0.09905876252073399
4.0,1.45,0.0,-0.000171049091295572,104000,0.005679759957247938,-29.21004570543766,1.3856596338748932,185.07,13,707,0.6833943664655089,0.09615654032128251
3.1000000000000085,1.53,0.0,-0.0001598677830406814,112000,0.0065924504796623755,-3.858169515132904,1.3861232030391692,187.72,14,720,0.8146155467629432,0.08768472650130774
